channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,BI,J_final
34,3,1.0,0.002058465,3.365472730365582e-05,61.164215087890625,312.1752089683771,19093.95162644902,3.590121923480183e-05,fit,0,,36,0.00015818542374145783,0.5956331491470337
34,1,0.6,0.001562028,3.867361738230102e-05,40.3900146484375,304.91916198862657,12315.689419309914,3.7316425505196094e-08,fit,0,,37,0.0001543335320125779,0.5811291933059692
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.95508687191483,40413.18698623857,0.042232695966959,fit,0,,38,0.00011195195100751685,0.4215451180934906
34,9,2.0,0.002440126,2.5073753931792453e-05,97.31793212890625,339.52422119460607,33041.795114336426,0.01996046118438244,fit,0,,38,0.0001268891437789574,0.4777897894382477
34,15,5.0,0.002204652,1.7790389392757788e-05,123.92375946044922,467.78970960611514,57970.2594513016,0.5976439714431763,fit,0,,38,9.274866340973551e-05,0.3492368459701538
34,13,4.0,0.002317061,1.9397790310904384e-05,119.4497299194336,430.0783142167464,51372.73847739565,0.1268245130777359,fit,0,,39,0.00010083443689468195,0.37968310713768005
34,7,1.8,0.0024120219999999998,2.6728033844847232e-05,90.24315643310547,336.6282616811992,30378.396878700823,0.01236854586750269,fit,0,,39,0.00013344779611964143,0.5024858117103577
34,5,1.4,0.0023085469999999998,2.8540513085317798e-05,80.88667297363281,312.3817747025303,25267.522453286612,0.007399834226816893,fit,0,,36,0.00014484626835743888,0.5454057455062866
34,19,8.0,0.0018584769999999999,1.242938651557779e-05,149.5228271484375,498.17316400916076,74488.25989213194,2.2579965591430664,fit,0,,38,8.104701631767329e-05,0.3051753342151642
34,17,6.0,0.002072425,1.469089875172358e-05,141.06863403320312,459.2899244609471,64791.40226891885,1.0575079917907715,fit,0,,37,8.767345857160044e-05,0.3301266133785248
34,25,26.0,0.000980923,8.477055416733492e-06,115.71505737304688,784.5283297908526,90781.74069252914,5.538471698760986,fit,0,,38,6.54375478502708e-05,0.24639926850795746
34,27,30.0,0.0008928300000000001,8.886213436198886e-06,100.47362518310547,888.5530048539658,89276.14156501945,4.463345050811768,fit,0,,38,6.289499474927289e-05,0.23682551085948944
34,29,40.0,0.000737938,8.190904736693483e-06,90.09236145019531,935.7561510175257,84304.48138671447,4.119056701660156,fit,0,,38,6.286996036566659e-05,0.23673124611377716
34,23,20.0,0.0011531739999999999,9.11727602215251e-06,126.48229217529297,720.6680001943284,91151.74056196315,5.933610439300537,fit,0,,36,6.7776426493307e-05,0.2552061080932617
34,21,10.0,0.001688306,1.254752351087518e-05,134.55291748046875,587.6619411353671,79071.62867199913,2.6966795921325684,fit,0,,37,7.743172840274429e-05,0.2915622889995575
