channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final,n_trials,train_s
31,1,0.6,0.004763267,0.00020628143101930618,23.091108322143555,1808.0661466960003,41750.25124695804,74.76687622070312,sim,0,,37,0.04539518655473853,0.04528608621122671,wna:1.0,9.06500887306142e-05,0.34133484959602356,500,2290.0
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,2877.5938012562347,72452.07723334419,6.857161998748779,sim,0,,36,0.04338844059022721,0.04249184199544079,wna:1.0,5.124632114107945e-05,0.19296346604824066,500,2292.5
31,7,1.8,0.003555786,0.00017813527665566653,19.961156845092773,2511.3189684066574,50128.83181642187,18.870811462402344,sim,0,,39,0.05361224406208648,0.05389643017180806,wna:1.0,6.456356055664887e-05,0.2431083470582962,500,2907.4
31,5,1.4,0.003880032,0.00016479201440233737,23.545024871826172,3166.262352615693,74549.72584306334,4.664923191070557,sim,0,,36,0.04760206639931881,0.045711393779568565,wna:1.0,4.929668640211097e-05,0.18562228977680206,500,2919.9
31,9,2.0,0.0034196770000000003,0.00017327901150565594,19.735092163085938,2526.272675834798,49856.22408668546,33.728179931640625,sim,0,,38,0.053998329117764914,0.05433610630373662,wna:1.0,6.571219395470664e-05,0.24743342399597168,500,2920.0
31,15,5.0,0.002313303,0.00010827172081917524,21.365718841552734,2299.946568344927,49140.011729851765,7.9328813552856445,sim,0,,38,0.05070859662691845,0.049378531180736374,wna:1.0,7.20355959052768e-05,0.2712436318397522,500,3725.5
31,11,3.0,0.002915397,0.0001416070736013353,20.587932586669922,2392.7489652832464,49261.75439407569,25.4910831451416,sim,0,,38,0.05147406231893358,0.051605025644836294,wna:1.0,6.740250160582795e-05,0.25379812717437744,500,3725.7
31,13,4.0,0.002568738,0.0001196714147226885,21.464927673339844,2182.73759994505,46852.3047126999,8.8505220413208,sim,0,,39,0.050492845628324685,0.049034937383007446,wna:1.0,7.595473934376874e-05,0.2860008180141449,500,3727.6
31,17,6.0,0.002113314,0.00010046664101537317,21.034982681274414,2490.2181803740077,52381.69629676194,8.866806030273438,sim,0,,37,0.05135826404865943,0.05038274875243036,wna:1.0,6.778830654698803e-05,0.25525084137916565,500,2158.5
31,19,8.0,0.001809979,8.112609793897718e-05,22.310686111450195,2584.382917039772,57659.35605386839,9.06613826751709,sim,0,,38,0.04924150836371574,0.047885284128880955,wna:1.0,6.251034536296788e-05,0.23537714779376984,500,2160.8
31,21,10.0,0.001585504,7.007622480159625e-05,22.62541961669922,2578.598765639894,58341.87909570525,9.792351722717285,sim,0,,37,0.04842113773887942,0.0470963553656363,wna:1.0,6.242631436367981e-05,0.23506073653697968,500,2906.0
31,23,20.0,0.00101821,4.2752431909320876e-05,23.816421508789062,2857.8281167065916,68063.239027153,15.22123908996582,sim,0,,37,0.04615368849389754,0.04532509003315137,wna:1.0,5.321343562592037e-05,0.20037046074867249,500,2912.5
31,25,26.0,0.0008496350000000001,3.714914055308327e-05,22.870920181274414,2854.909283615692,65294.40235035381,13.4048433303833,sim,0,,38,0.04853634579070202,0.047137529525897365,wna:1.0,5.5040450956725495e-05,0.20724992454051971,500,2914.5
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,312.381205394254,25267.559818615347,2.0396575927734375,sim,0,,36,0.050934740908569025,0.043360349201826034,wna:1.0,0.00015173356524775448,0.5713392496109009,500,2241.5
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,0.9793633222579956,sim,0,,36,0.0700317393799004,0.0666245969026394,wna:1.0,0.0001713015095498966,0.645020604133606,500,2241.7
31,27,30.0,0.0007646230000000001,3.412245132494718e-05,22.4082088470459,2825.3472729565883,63310.971757842824,17.478452682495117,sim,0,,38,0.04944620460449381,0.048226160487559455,wna:1.0,5.616356321348116e-05,0.21147890388965607,500,3731.6
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,2.2828457355499268,sim,0,,37,0.07782466214305854,0.06814673492756493,wna:1.0,0.0001973492989345603,0.7431012392044067,500,3735.7
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,2940.590688408304,65581.91741216245,18.071304321289062,sim,0,,38,0.04934915931686016,0.04843837155252758,wna:1.0,5.314731572688557e-05,0.20012149214744568,500,3736.5
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,336.63308515034794,30378.85784684795,4.367572784423828,sim,0,,39,0.03956407678116048,0.032342219466272915,wna:1.0,0.00013829210368526725,0.5207266211509705,500,2832.9
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,339.5260977451928,33042.01400165881,5.730186462402344,sim,0,,38,0.03531957035806178,0.028288744474533393,wna:1.0,0.00013006118142986365,0.48973381519317627,500,2835.0
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.9572506191231,40413.3835092655,5.712785720825195,sim,0,,38,0.03295085598128666,0.025131894571274613,wna:1.0,0.00011406702004498011,0.4295092225074768,500,2839.6
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,430.07999193401014,51373.0077865184,6.805601596832275,sim,0,,39,0.028701419248058788,0.021440004650122843,wna:1.0,0.00010214430581143583,0.38461530208587646,500,2308.2
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,6.783041477203369,sim,0,,38,0.027751605571078416,0.020776549698884348,wna:1.0,9.346253512309961e-05,0.351924866437912,500,2311.1
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,7.546399116516113,sim,0,,37,0.026191990470645785,0.019235413849718105,wna:1.0,8.824154041900559e-05,0.3322656750679016,500,3706.7
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,587.6611305244462,79072.16522573541,9.088728904724121,sim,0,,37,0.025119764290520555,0.017954219368956238,wna:1.0,7.772546094918664e-05,0.29266831278800964,500,3708.0
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,498.1729423674718,74488.47000014702,9.02865982055664,sim,0,,38,0.024556954400502463,0.017758573664857825,wna:1.0,8.141038291627126e-05,0.3065435588359833,500,3709.3
34,29,40.0,0.000737938,8.190912922145799e-06,90.09227752685547,935.7533831223525,84304.1534889529,10.817299842834473,sim,0,,38,0.03128085069002722,0.02165452973962161,wna:1.0,6.312930328303231e-05,0.23770777881145477,500,2205.7
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,784.5259179429877,90781.0905070347,12.80053997039795,sim,0,,38,0.027056367987294733,0.01875704331054787,wna:1.0,6.564131332796422e-05,0.24716652929782867,500,2831.0
34,27,30.0,0.0008928300000000001,8.886190698831342e-06,100.473876953125,888.5537299995817,89276.43813421823,10.130025863647461,sim,0,,38,0.03005964370504361,0.020539873737681912,wna:1.0,6.312908958453171e-05,0.2377069741487503,500,2832.7
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,720.6674963942794,91151.05003891938,12.356483459472656,sim,0,,36,0.02560964433695163,0.017827657495614883,wna:1.0,6.796434662291955e-05,0.25591370463371277,500,2833.8
71,3,1.0,0.004887824000000001,0.00013874554133508354,35.22869110107422,1481.314568259598,52184.7733487385,18.36668586730957,sim,0,,36,0.031705364680907795,0.03086106477216085,wna:1.0,6.790170130320918e-05,0.25567781925201416,500,2165.3
71,1,0.6,0.004321273,0.00015242415247485042,28.350317001342773,884.6023347426682,25078.756610082575,16.786785125732422,sim,0,,37,0.04350849587730174,0.04144437955373562,wna:1.0,0.0001396026136975229,0.5256612300872803,500,2545.3
71,5,1.4,0.005011591,0.0001433993165846914,34.9484977722168,1223.9409141080037,42774.896310028555,4.123894214630127,sim,0,,36,0.03718811068975188,0.03299402015371849,wna:1.0,9.922916541727739e-05,0.3736386001110077,500,2917.9
71,7,1.8,0.004993932,0.00015364713908638805,32.502601623535156,1386.6659224572045,45070.25006255841,4.4069390296936035,sim,0,,39,0.03705810091045558,0.03367560445552075,wna:1.0,9.559019654257918e-05,0.359936386346817,500,2918.2
71,9,2.0,0.00494817,0.00015350976900663227,32.23358154296875,1402.671062848678,45213.112082295505,2.6228439807891846,sim,0,,38,0.038635893929027436,0.034185426946293285,wna:1.0,9.660260506126928e-05,0.3637485206127167,500,2187.8
