channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
34,7,1.8,0.0024120219999999998,2.6737316147773527e-05,90.21182250976562,343.1661448267076,30957.64334846747,root,0.00014043030756410934,0.5287778377532959
34,5,1.4,0.0023085469999999998,2.8548700356623158e-05,80.86347198486328,321.49321490143575,25997.05757650588,root,0.0001534366473203556,0.5777520537376404
34,23,20.0,0.0011531739999999999,9.102121111936867e-06,126.69287872314453,721.3149139461188,91385.46291377107,root,7.08942242988595e-05,0.26694589853286743
34,21,10.0,0.001688306,1.2543815500976052e-05,134.5926971435547,586.240041655473,78903.62837995996,root,8.212904305900046e-05,0.309249609708786
34,13,4.0,0.002317061,1.941311711561866e-05,119.35543060302734,428.96216748760736,51198.96421289131,root,0.00010466237064721783,0.39409685134887695
34,15,5.0,0.002204652,1.778026853571646e-05,123.99430084228516,466.35377057227686,57825.20972727293,root,9.835699060353086e-05,0.3703545033931732
34,11,3.0,0.0024210790000000005,2.6689627702580765e-05,90.71235656738281,443.7037304611388,40249.41100786874,root,0.00011734005002431397,0.4418335258960724
34,9,2.0,0.002440126,2.510967169655487e-05,97.17872619628906,338.06201643974526,32852.436132963376,root,0.00013473736367883914,0.5073415637016296
34,27,30.0,0.0008928300000000001,8.880214409145992e-06,100.54148864746094,880.6039276945695,88537.22979921308,root,6.760683694618963e-05,0.25456753373146057
34,25,26.0,0.000980923,8.438542863586918e-06,116.24317169189453,785.2685384926409,91282.10554424315,root,6.886837834277275e-05,0.2593177556991577
34,19,8.0,0.0018584769999999999,1.2434205018507782e-05,149.46487426757812,495.70245141966154,74090.10457556996,root,8.638918598636183e-05,0.3252907991409302
34,17,6.0,0.002072425,1.4701159670948982e-05,140.9701690673828,456.292352895642,64323.610131852554,root,9.351588851541389e-05,0.35212576389312744
34,29,40.0,0.000737938,8.156031981343403e-06,90.47756958007812,930.9915968329027,84233.856980917,root,6.634186450145811e-05,0.24980439245700836
34,1,0.6,0.001562028,3.8671943912049755e-05,40.391761779785156,357.33758082389323,14433.49443960342,root,0.00019702237188769277,0.7418702244758606
34,3,1.0,0.002058465,3.366656164871529e-05,61.14271545410156,331.6757756600251,20279.55757419934,root,0.0001736492329364295,0.6538607478141785
31,25,26.0,0.0008496350000000001,3.7154663004912436e-05,22.86751937866211,2899.2769220298555,66299.27119862556,root,5.530554394670898e-05,0.208248108625412
31,27,30.0,0.0007646230000000001,3.399434353923425e-05,22.492652893066406,2920.4940579051604,65689.65912072375,root,5.5069933435047814e-05,0.20736093819141388
71,15,5.0,0.004079936,0.00010860482143471017,37.566802978515625,1900.144597401033,71382.3577212555,root,6.811706981800878e-05,0.25648877024650574
71,17,6.0,0.003818313,9.832047362579033e-05,38.83537673950195,1953.1742858199482,75852.25922772536,root,6.422513336454582e-05,0.24183402955532074
71,27,30.0,0.001507635,3.4554017474874854e-05,43.63125228881836,2594.543151281307,113203.16680778052,root,4.635575180745524e-05,0.1745484620332718
71,29,40.0,0.0012151240000000002,2.8354048481560312e-05,42.85539627075195,2697.6600636831854,115609.29103292486,root,4.436101481272308e-05,0.1670374572277069
83,3,1.0,0.003472437,6.843596929684281e-05,50.73994064331055,621.5227631148379,31536.028108913233,root,0.00012716980905782654,0.47884660959243774
83,1,0.6,0.0033347790000000004,8.302804053528234e-05,40.164493560791016,608.1982184118814,24427.97342708858,root,0.000151600597291831,0.5708385705947876
83,5,1.4,0.003395297,5.709174365620129e-05,59.47089767456055,637.9850222232209,37941.5419745394,root,0.00011265042851407908,0.4241751730442047
83,7,1.8,0.0032488990000000004,5.065934965386987e-05,64.13227081298828,661.9498894641011,42452.34957573939,root,0.00010450016557050977,0.3934860825538635
83,9,2.0,0.0031705730000000003,4.7104756959015504e-05,67.30897521972656,669.74742942421,45080.013130589716,root,0.00010043594459439418,0.37818261981010437
83,11,3.0,0.002789885,3.670461956062354e-05,76.00910186767578,712.3128049748257,54142.256554981395,root,9.049708851895013e-05,0.340758740901947
31,29,40.0,0.000618823,2.775627581286244e-05,22.294883728027344,2971.2907676480713,66244.58218687486,root,5.410872549414752e-05,0.20374159514904022
71,1,0.6,0.004321273,0.00015265231195371598,28.30794334411621,948.8435255269828,26859.808763049314,root,0.0001391232008983446,0.5238560438156128
71,5,1.4,0.005011591,0.0001396780280629173,35.87959671020508,1289.6394952977992,46271.744992837455,root,9.777067315074193e-05,0.36814677715301514
71,3,1.0,0.004887824000000001,0.00014364712114911526,34.02660369873047,1128.6477587812624,38404.050003510354,root,0.00011104764227108881,0.4181400239467621
83,13,4.0,0.002496163,3.190409188391641e-05,78.23958587646484,774.4655959218153,60593.867500492386,root,8.283244354583557e-05,0.31189820170402527
83,15,5.0,0.002248808,2.803654206218198e-05,80.20989990234375,821.1526630334404,65864.57290645526,root,7.8764225616283e-05,0.2965796887874603
71,13,4.0,0.004298046000000001,0.00010253296204609796,41.918678283691406,1687.6944664743062,70745.92138130266,root,6.993466262788969e-05,0.2633327543735504
71,25,26.0,0.001679975,4.036060272483155e-05,41.62413024902344,2616.7807301003845,108921.22194283306,root,4.708131757765724e-05,0.1772805154323578
71,11,3.0,0.004643936,0.00012439966667443514,37.33077621459961,1680.334091678651,62728.17594221822,root,7.68078791614441e-05,0.28921324014663696
71,7,1.8,0.004993932,0.00014758922043256462,33.83669662475586,1508.6546093914499,51047.88832951804,root,8.9270285000852e-05,0.3361393213272095
71,23,20.0,0.002002852,4.814024214283563e-05,41.604530334472656,2495.2677945601868,103814.44465141198,root,4.9385521660282695e-05,0.18595679104328156
71,9,2.0,0.00494817,0.0001454711309634149,34.01478958129883,1572.320602778504,53482.15445785175,root,8.650792320509777e-05,0.3257378935813904
83,19,8.0,0.001788618,2.1798312445753254e-05,82.05304718017578,927.3691867306126,76093.4676322482,root,7.057525158506953e-05,0.2657448351383209
83,17,6.0,0.002058808,2.6264271582476795e-05,78.38816833496094,883.3911475970285,69247.4139834502,root,7.623501679943313e-05,0.28705617785453796
31,19,8.0,0.001809979,8.164199971361086e-05,22.16970443725586,2538.814666544551,56284.77077826299,root,6.452198432614494e-05,0.24295179545879364
31,17,6.0,0.002113314,0.00010050863056676462,21.026195526123047,2502.1243631849484,52610.15609100284,root,6.811606464358008e-05,0.2564849853515625
31,5,1.4,0.003880032,0.00018392904894426465,21.095264434814453,1949.7337584341458,41130.14921165295,root,9.477002961206913e-05,0.3568481206893921
31,7,1.8,0.003555786,0.00017380666395183653,20.458284378051758,2092.601650513618,42811.03965618808,root,8.88780691046742e-05,0.33466246724128723
31,23,20.0,0.00101821,4.301370427128859e-05,23.671756744384766,2813.193799499715,66593.23929656879,root,5.613572304770969e-05,0.21137407422065735
31,21,10.0,0.001585504,7.009227556409314e-05,22.6202392578125,2606.309093108022,58955.33526591577,root,6.203678157089832e-05,0.23359398543834686
83,21,10.0,0.001586739,1.9417017028899863e-05,81.71898651123047,973.1245931073335,79522.75549788482,root,6.756410516083065e-05,0.2544066309928894
83,23,20.0,0.001055093,1.4545767044182867e-05,72.53608703613281,1176.709141614983,85353.87671239754,root,6.0252019182515655e-05,0.22687362134456635
31,13,4.0,0.002568738,0.00011792441364377737,21.78291893005371,2283.7762416420182,49747.312726070835,root,7.317422900498281e-05,0.2755310535430908
31,11,3.0,0.002915397,0.00013994105393067002,20.833036422729492,2245.3238493300264,46776.91353391563,root,7.853653382128264e-05,0.2957223355770111
31,15,5.0,0.002313303,0.00010729562200140208,21.560089111328125,2382.298761128682,51362.57357974098,root,7.011412187983068e-05,0.264008492231369
31,1,0.6,0.004763267,0.00021973776165395975,21.677053451538086,1572.180498669317,34080.24070512059,root,0.00011883397666815119,0.44745877385139465
31,9,2.0,0.0034196770000000003,0.0001709058997221291,20.00912094116211,2170.5583979813414,43430.96549506374,root,8.692011595370122e-05,0.32728996872901917
31,3,1.0,0.004304359,0.0001973947510123253,21.805843353271484,1787.3510125602963,38974.696197200996,root,0.00010291603441514519,0.3875211775302887
91,5,1.4,0.001870085,5.714819781132974e-05,32.72343063354492,625.8115075673771,20478.699457555238,root,0.00014658336806543042,0.5519466400146484
91,3,1.0,0.001998614,6.210347783053294e-05,32.18199920654297,608.5245136106582,19583.53541418015,root,0.0001519153989274798,0.5720239281654358
91,21,10.0,0.000809598,4.5119388232706115e-05,17.943462371826172,1042.8592680413108,18712.506035209444,root,0.00014869425019523394,0.5598949790000916
91,19,8.0,0.000927844,4.741003067465499e-05,19.57062530517578,986.3701057672706,19303.87975219786,root,0.00014697791881559616,0.553432285785675
71,19,8.0,0.0033632650000000003,8.43474263092503e-05,39.87395095825195,2061.0381402946205,82181.7337291945,root,6.0178985741248764e-05,0.2265986204147339
71,21,10.0,0.0030173459999999997,8.168055501300842e-05,36.94081115722656,2278.949569378161,84186.24567924145,root,5.70497906823314e-05,0.2148159146308899
83,27,30.0,0.000813756,1.3010250768275e-05,62.547298431396484,1302.8996449283097,81492.8529174915,root,5.8237000617125523e-05,0.219286248087883
83,25,26.0,0.0008937270000000001,1.37675779114943e-05,64.91533660888672,1285.729320347183,83463.55161825252,root,5.80567182302193e-05,0.21860741078853607
83,29,40.0,0.000670369,1.1468038792372681e-05,58.45541763305664,1387.2229965149309,81090.69961146056,root,5.601247045880385e-05,0.21090997755527496
91,1,0.6,0.002080556,7.300858851522207e-05,28.497413635253906,600.067124058877,17100.361043223038,root,0.00016719121676000542,0.629543662071228
91,7,1.8,0.001754325,5.121219146531075e-05,34.25600051879883,611.4272606471421,20945.052557936247,root,0.0001442018328272484,0.5429791808128357
91,11,3.0,0.0014831010000000001,5.2195046009728685e-05,28.414594650268555,748.6230890787934,21271.821622005802,root,0.0001418922585804507,0.5342826843261719
91,13,4.0,0.001322959,5.022058030590415e-05,26.342966079711914,811.6635535311964,21381.62545881074,root,0.00014211361856802612,0.5351161956787109
91,9,2.0,0.00169956,5.226924258749932e-05,32.5154914855957,647.8023411877518,21063.61150923931,root,0.00014348831727805197,0.540292501449585
91,15,5.0,0.001194072,4.802468538400717e-05,24.863712310791016,855.3435197341717,21267.01520156984,root,0.00014259836591495995,0.5369414687156677
91,17,6.0,0.001091107,4.566873758449219e-05,23.891769409179688,877.941251059811,20975.569925127736,root,0.0001440619948602689,0.5424526333808899
91,25,26.0,0.00040550199999999997,3.17344929499086e-05,12.777957916259766,1269.5862829860073,16222.720095055864,root,0.00015403945121672717,0.580021858215332
91,23,20.0,0.0005004920000000001,3.2499785447726026e-05,15.399855613708496,1142.7935110487876,17598.855066434317,root,0.00014925880997475896,0.5620207786560059
91,27,30.0,0.00035906,2.9819710107403807e-05,12.041029930114746,1287.7919636954302,15506.341578617918,root,0.00015575237924987404,0.5864717364311218
91,29,40.0,0.000280232,2.5868603188428096e-05,10.832900047302246,1474.4405096274768,15972.46666648784,root,0.00015208618360324863,0.5726670026779175
