channel,wp,vbias,t0,amp,baseline,tilt,pole0,pole1,pole2,zero0,sigma_baseline,rms
91,5,1.4,0.499415,68.4195,0.00153407,0.00247722,-1540.21,-3544.56,-112.705,-100000,0.000219295,0.00395944
91,7,1.8,0.499456,120.233,0.00151597,0.00222988,-2356.87,-2357.52,-128.074,-57375.9,0.000126661,0.0043261
91,9,2,0.499471,165.895,0.00151177,0.00213073,-2471.91,-2472.67,-135.095,-45593.7,0.000133238,0.00449454
91,11,3,0.499688,1933.18,0.000583001,0.00135437,-1361.77,-254.013,-58.6319,-88.184,0.000176935,0.00148242
91,13,4,0.499706,2084.08,0.000571303,0.0012583,-1424.93,-313.857,-67.5466,-108.965,0.000127571,0.00142969
91,15,5,0.499704,2241.43,0.000536282,0.00118162,-1507.65,-360.327,-72.9852,-123.092,0.000174592,0.00143502
91,17,6,0.499669,353.806,0.00141949,0.00149328,-3941.62,-3941.62,-209.13,-52318,0.000184806,0.00591013
91,19,8,0.499785,2698.51,0.000543515,0.00111607,-1817.75,-438.589,-80.3992,-144.41,0.000157629,0.00146301
91,21,10,0.4998,2855.84,0.000534182,0.00109527,-1916.94,-475.789,-83.3488,-154.342,0.000199115,0.00141364
91,23,20,0.499796,708.015,0.00143756,0.00134683,-6318.51,-6318.54,-253,-62804.5,0.000233249,0.00679461
91,25,26,0.49984,3521.59,0.000532003,0.00110198,-2401.54,-585.027,-89.8613,-187.199,0.000233312,0.00145883
91,27,30,0.49984,3647.89,0.000519142,0.00104008,-2510.78,-592.133,-90.3186,-191.273,0.000254018,0.00138936
91,29,40,0.499844,3845.11,0.00055844,0.00118578,-613.752,-2670.51,-91.8142,-202.762,0.000265083,0.00138352
