channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,BI,J_final
31,5,1.4,0.003880032,0.00023289072851184756,16.66031265258789,1920.635101168878,31998.38127700828,0.00010889324479475748,0.4100278317928314
31,7,1.8,0.003555786,0.00021487122285179794,16.548450469970703,2059.946733979087,34088.92649803084,0.00010116599407572896,0.380931556224823
31,9,2.0,0.0034196770000000003,0.00021052897500339895,16.243261337280273,2144.4931738338028,34833.563058596075,9.877531729057721e-05,0.37192967534065247
31,15,5.0,0.002313303,0.00012984289787709713,17.81616973876953,2358.002460359812,42010.572078206584,7.932721035871108e-05,0.2986995577812195
31,17,6.0,0.002113314,0.00012186109233880416,17.341991424560547,2478.3984109740477,42980.36398975642,7.747312259378474e-05,0.29171815514564514
31,11,3.0,0.002915397,0.00017034522898029536,17.114639282226562,2225.0954772125024,38081.70646100575,8.895648062487263e-05,0.33495771884918213
31,13,4.0,0.002568738,0.0001421024207957089,18.0766658782959,2257.2601743334617,40803.73797180994,8.228516960058058e-05,0.3098374903202057
31,1,0.6,0.004763267,0.0003018322749994695,15.781171798706055,1563.457307673452,24673.188372337176,0.00014108341767047198,0.5312370657920837
31,3,1.0,0.004304359,0.00025424009072594345,16.930294036865234,1764.6264546866096,29875.644743075347,0.00011915845013964156,0.4486805498600006
31,27,30.0,0.0007646230000000001,4.1112776671070606e-05,18.59818458557129,2926.284805573694,54423.58496401215,6.268008924789124e-05,0.23601630330085754
31,29,40.0,0.000618823,3.3461979910498485e-05,18.493316650390625,2976.094616117317,55037.860117380274,6.155983421923607e-05,0.23179808259010315
31,21,10.0,0.001585504,8.44658788992092e-05,18.77094268798828,2586.4621102565734,48550.33203627937,7.033662159274261e-05,0.2648462951183319
31,19,8.0,0.001809979,9.805553418118507e-05,18.45871353149414,2518.39021527808,46486.24354433594,7.291909673955468e-05,0.27457037568092346
34,5,1.4,0.0023085469999999998,3.4999247873201966e-05,65.95990753173828,316.73565091000376,20891.854246028783,0.00017110924421743872,0.6442966461181641
34,7,1.8,0.0024120219999999998,3.462683889665641e-05,69.65758514404297,353.9632876605667,24656.2278480813,0.00015816585845651482,0.5955594778060913
31,23,20.0,0.00101821,5.1987735787406564e-05,19.585580825805664,2805.959686557747,54956.35023502908,6.360645246105623e-05,0.23950444161891937
31,25,26.0,0.0008496350000000001,4.492149309953675e-05,18.913774490356445,2897.334809007847,54799.53720063438,6.274947794250916e-05,0.23627758026123047
34,11,3.0,0.0024210790000000005,2.3849592253100127e-05,101.51448059082031,346.30731576965337,35155.20728515756,0.0001306967207706221,0.4921268820762634
34,19,8.0,0.0018584769999999999,1.469251492380863e-05,126.49141693115234,480.9789457059033,60839.7083563915,9.648521335161114e-05,0.3633064925670624
34,17,6.0,0.002072425,1.704021451587323e-05,121.61965942382812,437.5546883837496,53215.25218053087,0.00010385016596454463,0.39103856682777405
34,9,2.0,0.002440126,2.9664011890417896e-05,82.25879669189453,323.44089092469557,26605.858488419766,0.00015176041211123617,0.5714403390884399
34,15,5.0,0.002204652,1.9705150407389738e-05,111.88201141357422,430.29676142441747,48142.4671729107,0.0001089666225280531,0.41030412912368774
34,13,4.0,0.002317061,2.270018376293592e-05,102.07234191894531,409.9648422113667,41846.07154894509,0.00011812912778036762,0.44480472803115845
34,3,1.0,0.002058465,4.043094304506667e-05,50.913108825683594,317.6682188269027,16173.476595595168,0.00018895780204286058,0.711503803730011
34,1,0.6,0.001562028,4.789678132510744e-05,32.61238098144531,355.3223402189472,11587.907530439035,0.00020742016528005482,0.7810221910476685
34,25,26.0,0.000980923,1.0216847840638366e-05,96.01033020019531,778.2597253982128,74720.97321699574,7.61245109303496e-05,0.28664007782936096
34,27,30.0,0.0008928300000000001,1.0500732969376259e-05,85.0254898071289,858.038120902006,72955.11150288155,7.44973709730512e-05,0.2805132269859314
34,29,40.0,0.000737938,9.79641390586039e-06,75.32736206054688,916.7298198253608,69054.83904968486,7.333116285200962e-05,0.27612197399139404
34,23,20.0,0.0011531739999999999,1.072298709914321e-05,107.54222869873047,698.8630519004798,75157.29015657415,7.939964623565225e-05,0.29897230863571167
34,21,10.0,0.001688306,1.3503688023774885e-05,125.02555084228516,527.7182056207791,65978.25934724022,9.101256096141342e-05,0.34269970655441284
37,1,0.6,0.005924068,0.0005906179430894554,10.030287742614746,1119.5855133364719,11229.764851227852,0.00020336348706953417,0.7657471299171448
37,3,1.0,0.005221188,0.0004138041695114225,12.617533683776855,987.3274007321423,12457.636735653656,0.00019744972140031965,0.7434793710708618
