channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,BI,J_final
31,25,26.0,0.0008496350000000001,4.492268635658547e-05,18.913270950317383,2897.3350908060006,54798.083606276305,77.89586639404297,5.84287277459523e-05,0.22000817954540253
31,27,30.0,0.0007646230000000001,4.1113864426733926e-05,18.597692489624023,2926.285086458301,54422.15017492433,100.01602935791016,5.794491434061365e-05,0.2181864231824875
34,13,4.0,0.002317061,2.2700782210449688e-05,102.06964874267578,409.9647865536574,41844.96176039786,0.029138552024960518,0.0001112430655924999,0.41887587308883667
34,11,3.0,0.0024210790000000005,2.385022526141256e-05,101.51178741455078,346.3073604766355,35154.279156798424,0.014715541154146194,0.0001185724730215017,0.4464741051197052
34,9,2.0,0.002440126,2.9664797693840228e-05,82.2566146850586,323.44091406213505,26605.154641392193,0.00889070238918066,0.00013386670849887457,0.5040631890296936
31,21,10.0,0.001585504,8.446811989415437e-05,18.770442962646484,2586.46235760439,48549.04415844536,58.33174133300781,6.694757707186553e-05,0.2520851492881775
31,23,20.0,0.00101821,5.198911458137445e-05,19.585060119628906,2805.959854061136,54954.8924350525,61.196556091308594,5.993833748530514e-05,0.225692480802536
34,7,1.8,0.0024120219999999998,3.4627755667315796e-05,69.65574645996094,353.9632751243975,24655.57614820243,0.00611032685264945,0.00013998636871602916,0.5271062254905701
34,25,26.0,0.000980923,1.0217117960564792e-05,96.00779724121094,778.2597664446496,74719.0058578101,4.868374824523926,7.145158956219796e-05,0.2690446078777313
34,23,20.0,0.0011531739999999999,1.0723270861490164e-05,107.53938293457031,698.8630176744479,75155.29767650182,4.834297180175781,7.421156110064929e-05,0.27943703532218933
31,15,5.0,0.002313303,0.0001298463175771758,17.81570053100586,2358.002340164059,42009.46354377389,33.145450592041016,7.654511706806892e-05,0.28822383284568787
31,13,4.0,0.002568738,0.0001421061751898378,18.076189041137695,2257.260195226921,40802.66200395721,16.524681091308594,8.000324160795195e-05,0.3012450933456421
34,1,0.6,0.001562028,4.789804734173231e-05,32.611515045166016,355.32236735575106,11587.600728906082,1.0968451391590861e-07,0.00015063143501785315,0.5671892762184143
31,29,40.0,0.000618823,3.3462867577327415e-05,18.492826461791992,2976.0950433382454,55036.40917025349,115.76978302001953,5.6660340994522356e-05,0.21334947645664215
31,7,1.8,0.003555786,0.00021487691265065223,16.54801368713379,2059.9465561098245,34088.02380526949,8.478958129882812,9.919398431227265e-05,0.3735061287879944
31,5,1.4,0.003880032,0.00023289688397198915,16.659870147705078,1920.635219428525,31997.533356788277,4.276498317718506,0.00010706427056103026,0.40314099192619324
34,27,30.0,0.0008928300000000001,1.0501011274755001e-05,85.02323913574219,858.038132519934,72953.181328828,4.092662811279297,7.043910981067433e-05,0.2652322053909302
34,29,40.0,0.000737938,9.796674021345098e-06,75.32536315917969,916.729855329701,69053.00927157198,4.584600925445557,6.915069780633167e-05,0.2603808045387268
31,19,8.0,0.001809979,9.805812442209572e-05,18.45822525024414,2518.390331451233,46485.01600596386,50.11947250366211,6.97308417468813e-05,0.2625652849674225
31,17,6.0,0.002113314,0.00012186431558802724,17.341533660888672,2478.3984232701464,42979.22968223265,49.0689697265625,7.428394948903477e-05,0.2797096073627472
34,17,6.0,0.002072425,1.7040667444234714e-05,121.6164321899414,437.5547029416881,53213.841859697764,0.27633777260780334,9.94083239083657e-05,0.37431320548057556
34,15,5.0,0.002204652,1.9705672457348555e-05,111.8790512084961,430.2968113147432,48141.19898793474,0.09569962322711945,0.00010438720612604908,0.39306074380874634
31,1,0.6,0.004763267,0.00030184024944901466,15.780755043029785,1563.4572981651636,24672.53664258163,0.01276637613773346,0.00013046259427632617,0.491245299577713
31,3,1.0,0.004304359,0.0002542468428146094,16.92984390258789,1764.6266732657994,29874.85412473295,1.2923980951309204,0.00011707972567679739,0.4408532977104187
34,19,8.0,0.0018584769999999999,1.4692903278046288e-05,126.48807525634766,480.97896079920235,60838.10299028939,0.6221346855163574,9.128045181880278e-05,0.34370842576026917
34,21,10.0,0.001688306,1.3504045455192681e-05,125.0222396850586,527.718216405722,65976.5133376478,2.679821729660034,8.626639641087394e-05,0.32482844591140747
34,5,1.4,0.0023085469999999998,3.500017191981897e-05,65.95816802978516,316.7356221618394,20891.301387569147,4.155624264967628e-05,0.00014792447653706704,0.5569964647293091
34,3,1.0,0.002058465,4.043200897285715e-05,50.911766052246094,317.6681876347716,16173.048451102506,2.508825900804368e-06,0.00014916112601571092,0.5616529583930969
31,11,3.0,0.002915397,0.00017034972552210093,17.114187240600586,2225.0955611953445,38080.70206252637,19.609607696533203,8.673958820925727e-05,0.3266102075576782
31,9,2.0,0.0034196770000000003,0.0002105345338350162,16.24283218383789,2144.4929893847598,34832.6397459935,8.557853698730469,9.679855867155221e-05,0.36448636651039124
37,3,1.0,0.005221188,0.0004138150834478438,12.61720085144043,987.3273290085704,12457.30721621734,7.422138992296823e-07,0.00016355389415523768,0.615847647190094
37,1,0.6,0.005924068,0.0005906336009502411,10.030021667480469,1119.5855174270816,11229.46699839096,4.985647805710869e-08,0.0001510897470687879,0.5689150094985962
37,7,1.8,0.004544228000000001,0.00029190650093369186,15.567408561706543,1133.5706616190323,17646.757622987476,0.0002494302170816809,0.00014796636144318292,0.5571541786193848
37,5,1.4,0.004787576,0.0003390419587958604,14.120895385742188,1045.9150828347128,14769.257467078854,1.0246601050312165e-05,0.00014944368292204826,0.5627169013023376
37,11,3.0,0.0042018129999999996,0.00021581078181043267,19.469894409179688,1094.5411443577666,21310.600507148418,0.07081878930330276,0.00013460730835433113,0.506851851940155
37,13,4.0,0.004053878,0.00017749835387803614,22.838960647583008,1033.4035396717406,23601.86277563587,0.06292150914669037,0.00012393849777466367,0.4666793942451477
