channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,BI,J_final
34,3,1.0,0.002058465,4.043094304506667e-05,50.913108825683594,317.66818335750486,16173.474789737855,0.00019178612274117768,root,1,2.0,36,0.00018592902944970254,0.7000992298126221
34,1,0.6,0.001562028,4.789678132510744e-05,32.61238098144531,355.3223402189472,11587.907530439035,0.0001336888672085479,root,1,2.0,37,0.0002083155936565694,0.784393846988678
34,9,2.0,0.002440126,2.9664011890417896e-05,82.25879669189453,323.44089092469557,26605.858488419766,0.00020835168834310025,root,1,2.0,38,0.00015569263864681986,0.5862467885017395
34,11,3.0,0.0024210790000000005,2.3849592253100127e-05,101.51448059082031,346.30731576965337,35155.20728515756,0.0043495032005012035,root,1,2.0,38,0.00013784157975746516,0.5190302133560181
34,13,4.0,0.002317061,2.270018376293592e-05,102.07234191894531,409.9648422113667,41846.07154894509,0.02020924910902977,root,1,2.0,39,0.00012481250881256342,0.4699704051017761
34,15,5.0,0.002204652,1.9705150407389738e-05,111.88201141357422,430.2967948067472,48142.47090779289,0.03898995369672775,root,1,2.0,38,0.00011519469120308172,0.43375536799430847
34,17,6.0,0.002072425,1.7040216334862635e-05,121.61964416503906,437.5547350913389,53215.251184536566,0.054366059601306915,root,1,2.0,37,0.00010918309119439279,0.4111192226409912
34,19,8.0,0.0018584769999999999,1.469251492380863e-05,126.49141693115234,480.9789457059033,60839.7083563915,0.08242057263851166,root,1,2.0,38,9.779048379322267e-05,0.36822137236595154
34,7,1.8,0.0024120219999999998,3.462683889665641e-05,69.65758514404297,353.9632876605667,24656.2278480813,0.00042935425881296396,root,1,2.0,39,0.00016050489143735702,0.6043668985366821
34,5,1.4,0.0023085469999999998,3.4999247873201966e-05,65.95990753173828,316.73565091000376,20891.854246028783,0.00032860200735740364,root,1,2.0,36,0.00017151943453194403,0.6458411812782288
91,1,0.6,0.002080556,8.84269829839468e-05,23.528520584106445,506.88993984277397,11926.370383467185,0.0007966595003381371,root,1,2.0,37,0.00017219454766910828,0.6483832597732544
34,29,40.0,0.000737938,9.79641390586039e-06,75.32736206054688,916.7298198253608,69054.83904968486,1.3251705169677734,root,1,2.0,38,7.200955634724179e-05,0.2711455821990967
91,3,1.0,0.001998614,7.771659147692844e-05,25.716697692871094,555.0142405598025,14273.133439714875,0.0034912663977593184,root,1,2.0,36,0.0001632896994904326,0.6148528456687927
91,5,1.4,0.001870085,6.815525557613e-05,27.438602447509766,556.0847623491173,15258.188721215378,0.00459383986890316,root,1,2.0,36,0.00016017153760595319,0.6031116843223572
91,23,20.0,0.0005004920000000001,3.943773117498495e-05,12.690689086914062,1116.390317734839,14167.762422014044,0.0013670704793184996,root,1,2.0,37,0.0001536991798857116,0.5787405967712402
91,25,26.0,0.00040550199999999997,3.8356542063411325e-05,10.57191276550293,1243.9492014068678,13150.92244199044,0.0014463108964264393,root,1,2.0,38,0.00015482872684176286,0.5829938054084778
91,27,30.0,0.00035906,3.583921352401376e-05,10.018635749816895,1266.0432893696002,12684.026559694052,0.0012692221207544208,root,1,2.0,38,0.0001547152450231896,0.582566499710083
91,29,40.0,0.000280232,3.116894367849454e-05,8.990743637084961,1455.9085015445203,13089.700096439296,0.0014204415492713451,root,1,2.0,38,0.0001528999949820559,0.5757313370704651
34,21,10.0,0.001688306,1.3503688023774885e-05,125.02555084228516,527.7182056207791,65978.25934724022,0.3576119542121887,root,1,2.0,37,9.212997459148664e-05,0.34690722823143005
34,23,20.0,0.0011531739999999999,1.072298709914321e-05,107.54222869873047,698.8630519004798,75157.29015657415,1.990944743156433,root,1,2.0,36,7.82050241287913e-05,0.2944740653038025
91,7,1.8,0.001754325,6.149301043478772e-05,28.528852462768555,555.504822683855,15847.915128704106,0.010702135041356087,root,1,2.0,39,0.00015843070213158094,0.5965567231178284
91,9,2.0,0.00169956,6.226721598068252e-05,27.294618606567383,587.378796729383,16032.280234312977,0.018339011818170547,root,1,2.0,38,0.00015742074718826798,0.5927538275718689
34,25,26.0,0.000980923,1.0216847840638366e-05,96.01033020019531,778.2597253982128,74720.97321699574,2.1432080268859863,root,1,2.0,38,7.520118302736894e-05,0.2831633687019348
34,27,30.0,0.0008928300000000001,1.0500732969376259e-05,85.0254898071289,858.038120902006,72955.11150288155,1.2270210981369019,root,1,2.0,38,7.378237536386918e-05,0.27782097458839417
91,11,3.0,0.0014831010000000001,6.248692807275802e-05,23.734580993652344,702.599568449794,16675.90636347682,0.017985867336392403,root,1,2.0,38,0.00015588541052387176,0.5869726538658142
91,13,4.0,0.001322959,6.062335887691006e-05,21.822593688964844,763.214481144388,16655.3195195481,0.004189228173345327,root,1,2.0,39,0.00015628594483205405,0.5884808301925659
91,15,5.0,0.001194072,5.776072066510096e-05,20.672731399536133,810.8474037438372,16762.430583607573,0.0027606722433120012,root,1,2.0,38,0.0001560027547449742,0.5874145030975342
91,17,6.0,0.001091107,5.5562071793247014e-05,19.637622833251953,839.9081251688347,16493.79897664935,0.0018106813076883554,root,1,2.0,37,0.00015650260345261648,0.5892966389656067
91,19,8.0,0.000927844,5.711121775675565e-05,16.246265411376953,943.5788193468604,15329.631935662801,0.0014141901629045606,root,1,2.0,38,0.00015603009232353132,0.5875174403190613
91,21,10.0,0.000809598,5.470646283356473e-05,14.798945426940918,1002.8567497138974,14841.222310055315,0.0010696308454498649,root,1,2.0,37,0.00015581626718679154,0.5867123007774353
