channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final,n_trials,train_s
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,1.0,sim,0,,36,0.1733452675320305,0.16205393639295923,,0.00016669056074691645,0.627658486366272,500,1736.5
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,1.0,sim,0,,37,0.28294781395470975,0.2619784064596684,,0.00018793339474910023,0.7076464891433716,500,1738.7
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,1.0,sim,0,,38,0.05247210832270306,0.0410546486963112,,9.317064671556976e-05,0.35082578659057617,500,1845.9
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.9572506191231,40413.3835092655,1.0,sim,0,,38,0.06049518239884801,0.04805200845934533,,0.00011338356475153351,0.42693573236465454,500,1846.3
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,430.07999193401014,51373.0077865184,1.0,sim,0,,39,0.05408155593275348,0.043576271148315825,,0.00010162987020243837,0.38267824053764343,500,1847.1
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,312.381205394254,25267.559818615347,1.0,sim,0,,36,0.0993533606595586,0.09082383292491711,,0.00014960758175724248,0.563334047794342,500,1850.0
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,336.63308515034794,30378.85784684795,1.0,sim,0,,39,0.07321881980330437,0.06286265852592242,,0.00013703444843549118,0.5159910321235657,500,1850.7
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,339.5260977451928,33042.01400165881,1.0,sim,0,,38,0.06617432733114872,0.05635012742032625,,0.00012899458055437547,0.48571762442588806,500,1850.7
34,27,30.0,0.0008928300000000001,8.886190698831342e-06,100.473876953125,888.5537299995817,89276.43813421823,1.0,sim,0,,38,0.06437044063375273,0.051818206391632926,,6.291070950382564e-05,0.2368846833705902,500,1217.9
34,29,40.0,0.000737938,8.190912922145799e-06,90.09227752685547,935.7533831223525,84304.1534889529,1.0,sim,0,,38,0.06871404523824365,0.05464573351692553,,6.290144527808704e-05,0.2368497997522354,500,1219.0
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,1.0,sim,0,,37,0.0519646000585312,0.041229670370914746,,8.802113811730317e-05,0.33143576979637146,500,1864.3
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,498.1729423674718,74488.47000014702,1.0,sim,0,,38,0.05166005155500021,0.04114729514375835,,8.125239640626006e-05,0.3059486746788025,500,1866.0
34,25,26.0,0.000980923,8.47708997753216e-06,115.71458435058594,784.5259179429877,90781.0905070347,1.0,sim,0,,38,0.061725179524711286,0.04989107617529165,,6.553694931208286e-05,0.24677355587482452,500,1859.3
34,23,20.0,0.0011531739999999999,9.117338777286932e-06,126.4814224243164,720.6674963942794,91151.05003891938,1.0,sim,0,,36,0.05898134687883501,0.04852352432766068,,6.772166427384067e-05,0.25499990582466125,500,1859.4
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,587.6611305244462,79072.16522573541,1.0,sim,0,,37,0.05250483401609151,0.04191505404034976,,7.747876581715221e-05,0.29173940420150757,500,1860.1
