channel,wp,vbias,signal_amp,sigma_analytic,SNR,BI,template
83,21,10.0,0.001586739,1.941468144650571e-05,81.72882080078125,nan,APsimfit10000led_npsclean
83,19,8.0,0.001788618,2.1729108993895352e-05,82.31437683105469,nan,APsimfit10000led_npsclean
83,23,20.0,0.001055093,1.4627768905484118e-05,72.12945556640625,nan,APsimfit10000led_npsclean
83,25,26.0,0.0008937270000000001,1.385552513966104e-05,64.5032958984375,nan,APsimfit10000led_npsclean
83,27,30.0,0.000813756,1.3130492334312294e-05,61.974525451660156,nan,APsimfit10000led_npsclean
83,29,40.0,0.000670369,1.1541617823240813e-05,58.082759857177734,nan,APsimfit10000led_npsclean
91,1,0.6,0.002080556,7.241459388751537e-05,28.731170654296875,nan,APsimfit10000led_npsclean
91,5,1.4,0.001870085,5.723529466195032e-05,32.67363357543945,nan,APsimfit10000led_npsclean
91,3,1.0,0.001998614,6.211977597558871e-05,32.17355728149414,nan,APsimfit10000led_npsclean
91,7,1.8,0.001754325,5.12332990183495e-05,34.24189376831055,nan,APsimfit10000led_npsclean
91,9,2.0,0.00169956,5.227583460509777e-05,32.51138687133789,nan,APsimfit10000led_npsclean
91,13,4.0,0.001322959,5.01216491102241e-05,26.394962310791016,nan,APsimfit10000led_npsclean
91,11,3.0,0.0014831010000000001,5.2088620577706024e-05,28.47264862060547,nan,APsimfit10000led_npsclean
91,15,5.0,0.001194072,4.792997060576454e-05,24.912843704223633,nan,APsimfit10000led_npsclean
91,19,8.0,0.000927844,4.735560287372209e-05,19.593120574951172,nan,APsimfit10000led_npsclean
91,17,6.0,0.001091107,4.562981484923512e-05,23.912151336669922,nan,APsimfit10000led_npsclean
91,25,26.0,0.00040550199999999997,3.1747233151691034e-05,12.77283000946045,nan,APsimfit10000led_npsclean
91,21,10.0,0.000809598,4.5092529035173357e-05,17.95414924621582,nan,APsimfit10000led_npsclean
91,29,40.0,0.000280232,2.584914727776777e-05,10.84105396270752,nan,APsimfit10000led_npsclean
91,27,30.0,0.00035906,2.9808355975546874e-05,12.045616149902344,nan,APsimfit10000led_npsclean
91,23,20.0,0.0005004920000000001,3.248040593462065e-05,15.40904426574707,nan,APsimfit10000led_npsclean
