channel,wp,vbias,model,n_real,nzer,bessel_order,fcut,n_pulses,rms,chi,cond,railing,t0,zeros,real_poles,param_errors
91,9,2,9p z4,9,4,6,2500,38,5.455621e-04,2.0413,2.391e+08,"",0.50004655,"-1799.04 -1773.09 -90.5196 -6.31283","-4481.05 -4088.4 -4387.35 -816.479 -216.314 -62.822 -4222.94 -5.74059 -4385.21","2.33816e-05 120.982 127.725 0.249248 0.039497 136.244 180.529 79.4912 4.26999 0.413221 0.12428 145.795 0.0360098 43.5658"
91,11,3,3p z1,3,1,6,2500,38,2.720570e-03,5.7842,7.340e+06,"",0.50003550,"-69.9168","-1849.69 -219.779 -49.2913","7.21519e-06 0.330266 28.6725 0.577075 0.184137"
91,11,3,6p z2,6,2,6,2500,38,1.499533e-03,2.0801,3.560e+12,"",0.50010943,"-107.75 -7.8828","-19336.7 -7.14685 -71.4413 -1388.79 -19304.7 -263.259","3.2679e-06 0.297629 0.0567309 3.57843e+06 0.0513336 0.146165 8.75715 3.56036e+06 0.495028"
91,11,3,7p z3,7,3,6,2500,38,2.565256e-03,1.2506,2.357e+09,"pole1=-3.142e+04; pole5=-3.142e+04",0.50013939,"-154.906 -35.9769 -2.90443","-31415.9 -31.7863 -310.309 -1194.32 -31415.9 -100.211 -2.67394","1.51348e-06 0.762262 0.361172 0.0519182 1259.59 0.288123 0.855979 3.95283 1560.19 0.448488 0.0485819"
91,11,3,9p z4,9,4,6,2500,38,4.009209e-04,1.0968,7.738e+08,"",0.50004659,"-42.8698 -1420.71 -186.398 -3.35257","-5854.21 -5998.15 -6146.64 -3.08517 -372.511 -36.8069 -114.02 -779.26 -5879.65","2.60854e-06 0.322734 21.9375 1.2029 0.040354 236.37 406.586 224.539 0.0375924 2.79058 0.236925 0.534358 9.97256 373.469"
91,13,4,3p z1,3,1,6,2500,39,2.871759e-03,4.9918,8.985e+06,"",0.50002360,"-84.0493","-261.124 -56.2252 -2080.92","5.27347e-06 0.366469 0.692507 0.188725 28.1127"
91,13,4,6p z2,6,2,6,2500,39,8.332081e-04,1.9024,1.309e+10,"",0.50008660,"-125.002 -9.65814","-79.2007 -10838.8 -310.872 -1622.79 -10837.7 -8.71295","2.2242e-06 0.338349 0.0717174 0.160177 10936.1 0.590348 9.34315 11346.1 0.0642547"
91,13,4,7p z3,7,3,6,2500,39,1.719519e-03,0.9289,1.116e+10,"pole3=-3.142e+04; pole5=-3.142e+04",0.50011153,"-42.577 -184.626 -3.07895","-2.83211 -36.5999 -31415.8 -114.936 -31415.8 -1346.63 -375.33","1.09292e-06 0.295358 0.717083 0.0426382 0.0399244 0.2216 3988.84 0.409209 6244.55 4.03427 0.894506"
91,13,4,9p z4,9,4,6,2500,39,3.404059e-04,0.8443,1.419e+09,"",0.50006148,"-1973.51 -206.432 -3.35805 -47.0962","-6508.9 -6691.51 -39.7029 -6911.87 -418.309 -1027.9 -6684.11 -124.463 -3.08797","1.54172e-06 19.423 0.96347 0.033427 0.264756 518.834 498.509 0.18658 227.058 1.84495 7.5451 203.306 0.454739 0.0312173"
91,15,5,3p z1,3,1,6,2500,38,1.859904e-03,4.8261,7.761e+06,"",0.50004393,"-100.414","-1982.1 -63.4999 -309.201","3.07167e-06 0.400762 15.4291 0.191713 0.762092"
91,15,5,6p z2,6,2,6,2500,38,7.129744e-04,1.9471,6.999e+10,"",0.50009246,"-150.613 -14.6727","-90.9328 -369.569 -12728.4 -12746.6 -1655.41 -13.0859","1.46473e-06 0.446243 0.114827 0.209863 0.744147 39565.5 39802 7.22612 0.0997182"
91,15,5,7p z3,7,3,6,2500,38,1.071562e-03,1.0346,8.175e+12,"",0.50010711,"-47.6442 -208.994 -3.55351","-23510.7 -23501.2 -3.28348 -430.883 -126.767 -40.0493 -1465.75","7.63823e-07 0.350705 0.860422 0.0548245 2.46733e+06 2.46529e+06 0.0512651 1.06211 0.498162 0.253057 3.93492"
91,15,5,9p z4,9,4,6,2500,38,3.056929e-04,0.9323,1.579e+10,"",0.50006634,"-237.78 -2303.27 -53.7514 -3.98455","-7336.28 -6959.79 -7584.2 -44.0511 -139.635 -1140.92 -7033.2 -3.67845 -486.106","1.17236e-06 1.21343 36.2798 0.329107 0.0467615 2968.95 2686.87 4914.91 0.221356 0.573751 9.74762 1298.21 0.0435477 2.42272"
91,17,6,3p z1,3,1,6,2500,37,5.694315e-03,4.0970,2.456e+07,"",0.49995750,"-96.189","-61.5163 -300.387 -3268.73","5.9025e-06 0.401804 0.195164 0.84266 78.5935"
91,17,6,6p z2,6,2,6,2500,37,9.967233e-04,1.7182,4.191e+09,"",0.50006024,"-12.2136 -141.615","-86.6638 -3057.6 -3057.42 -26206.9 -359.654 -10.9473","3.13118e-06 0.100881 0.415226 0.19575 679.798 695.867 5962.98 0.771799 0.0890584"
91,17,6,7p z3,7,3,6,2500,37,6.754466e-04,0.8843,9.698e+10,"",0.50007629,"-52.5557 -225.045 -3.58047","-1646.32 -462.486 -3.29193 -15795.6 -15808.5 -43.3538 -135.753","1.78637e-06 0.353216 1.09672 0.0485172 10.9046 1.67099 0.0452804 51481.5 51683.7 0.240342 0.590561"
