channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,BI,J_final
34,27,30.0,0.0008928300000000001,8.881695066520479e-06,100.52472686767578,881.7528972045684,88637.96915627104,3.291963577270508,sim,0,,38,6.231885963429916e-05,0.23465612530708313
34,29,40.0,0.000737938,8.157459888025187e-06,90.46173858642578,932.0882323659739,84318.32201577442,3.3118743896484375,sim,0,,38,6.117326154642573e-05,0.23034247756004333
34,1,0.6,0.001562028,3.868182102451101e-05,40.38145065307617,397.14150101299134,16037.14992544471,1.1549522014320246e-06,sim,0,,37,0.00015087758403149718,0.5681161284446716
34,5,1.4,0.0023085469999999998,2.8548443879117258e-05,80.86419677734375,331.76658105727205,26828.038094761814,0.008840429596602917,sim,0,,36,0.00013208423347592417,0.49735143780708313
34,3,1.0,0.002058465,3.367077079019509e-05,61.13507080078125,352.9163680788491,21575.567149255014,0.00013156275963410735,sim,0,,36,0.00014642512036836292,0.5513507723808289
34,11,3.0,0.0024210790000000005,2.6697605790104717e-05,90.68524932861328,450.39604134742393,40844.27730621156,0.028722867369651794,sim,0,,38,0.00010863639502656533,0.40906068682670593
34,13,4.0,0.002317061,1.941654409165494e-05,119.33436584472656,432.64186077587317,51629.042093571305,0.08441435545682907,sim,0,,39,9.79712252361672e-05,0.36890193819999695
34,7,1.8,0.0024120219999999998,2.673922608664725e-05,90.20537567138672,350.8746029922709,31650.77537646647,0.010554884560406208,sim,0,,39,0.00012076630974333106,0.45473480224609375
34,9,2.0,0.002440126,2.5115365133387968e-05,97.15669250488281,344.39689100229435,33460.46283874755,0.012321206741034985,sim,0,,38,0.00011614440691350576,0.4373314380645752
34,15,5.0,0.002204652,1.7780337657313794e-05,123.99382019042969,468.7777608760649,58125.54539133904,0.20129455626010895,sim,0,,38,9.142747638720958e-05,0.344262033700943
34,17,6.0,0.002072425,1.4700593055749778e-05,140.97561645507812,458.40382884185334,64623.762356348394,0.4555596709251404,sim,0,,37,8.660212467006211e-05,0.32609260082244873
34,19,8.0,0.0018584769999999999,1.2435501048457809e-05,149.44931030273438,497.28385833866747,74318.72965339651,1.6890478134155273,sim,0,,38,8.015103390800902e-05,0.3018015921115875
34,21,10.0,0.001688306,1.2543288903543726e-05,134.5983428955078,587.900630657963,79130.4506737858,2.0280964374542236,sim,0,,37,7.551831951700567e-05,0.2843575179576874
34,25,26.0,0.000980923,8.436772986897267e-06,116.2675552368164,786.3243679247907,91424.01188175035,3.067194938659668,sim,0,,38,6.306769083940812e-05,0.23747578263282776
34,23,20.0,0.0011531739999999999,9.104106538870838e-06,126.66525268554688,722.5738001323151,91524.99297771553,3.425823450088501,sim,0,,36,6.527003197008507e-05,0.2457685023546219
