channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final
31,19,8.0,0.001809979,8.112609793897718e-05,22.310686111450195,2584.382917039772,57659.35605386839,7.5856404304504395,sim,0,,38,0.049549569735630586,0.047769945494016766,wna:1.0,6.25749852020171e-05,0.23562054336071014
31,21,10.0,0.001585504,7.007622480159625e-05,22.62541961669922,2578.598765639894,58341.87909570525,11.028621673583984,sim,0,,37,0.04850525842713656,0.04715209989593308,wna:1.0,6.240555395008533e-05,0.23498256504535675
31,23,20.0,0.00101821,4.2752431909320876e-05,23.816421508789062,2857.8281167065916,68063.239027153,12.909966468811035,sim,0,,37,0.046383841925521016,0.04520203282864156,wna:1.0,5.331045078780916e-05,0.20073576271533966
31,25,26.0,0.0008496350000000001,3.714914055308327e-05,22.870920181274414,2854.909283615692,65294.40235035381,17.419906616210938,sim,0,,38,0.04810677923909932,0.0471985581832588,wna:1.0,5.4968414775128034e-05,0.2069786787033081
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,2.3241701126098633,sim,0,,37,0.07785073666871761,0.0693234347602909,wna:1.0,0.0001973219138674475,0.7429981231689453
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,1.0524216890335083,sim,0,,36,0.0702002923808207,0.06676377852806145,wna:1.0,0.00017127996557513332,0.6449394822120667
31,29,40.0,0.000618823,2.774705717456527e-05,22.30229377746582,2940.590688408304,65581.91741216245,20.46188735961914,sim,0,,38,0.04956975198522606,0.04876977508614116,wna:1.0,5.3106443909957664e-05,0.19996759295463562
31,27,30.0,0.0007646230000000001,3.412245132494718e-05,22.4082088470459,2825.3472729565883,63310.971757842824,15.564348220825195,sim,0,,38,0.04901099975179823,0.047942008303628776,wna:1.0,5.616131937922496e-05,0.21147045493125916
31,3,1.0,0.004304359,0.00017095710791181773,25.178007125854492,2877.5938012562347,72452.07723334419,5.493587970733643,sim,0,,36,0.044174767453025836,0.042696874316719924,wna:1.0,5.12639196083411e-05,0.1930297315120697
31,5,1.4,0.003880032,0.00016479201440233737,23.545024871826172,3166.262352615693,74549.72584306334,4.022796630859375,sim,0,,36,0.04819371735858095,0.0456281387925486,wna:1.0,4.93893840628119e-05,0.18597133457660675
31,9,2.0,0.0034196770000000003,0.00017327901150565594,19.735092163085938,2526.272675834798,49856.22408668546,30.25630760192871,sim,0,,38,0.05385849064068494,0.05423545056221932,wna:1.0,6.570711663662776e-05,0.24741430580615997
