channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_mean,lambda_median,lambda_min,lambda_max,BI,J_final
31,1,0.6,0.004763267,0.00030184024944901466,15.780755043029785,1563.4572981651636,24672.53664258163,0.7966972589492798,0.03806145116686821,0.009147008880972862,1963.1300048828125,0.00012993304939186098,0.48925134539604187
31,3,1.0,0.004304359,0.0002542468428146094,16.92984390258789,1764.6266732657994,29874.85412473295,1.1402745246887207,0.043765850365161896,0.005681286565959454,34.118019104003906,0.00011154899478299451,0.42002782225608826
31,5,1.4,0.003880032,0.00023289688397198915,16.659870147705078,1920.635219428525,31997.533356788277,1.7611713409423828,1.1729000806808472,0.004313472658395767,30.625377655029297,0.0001043930788774357,0.393082857131958
31,7,1.8,0.003555786,0.00021487691265065223,16.54801368713379,2059.9465561098245,34088.02380526949,2.3649961948394775,1.7499245405197144,0.004962494596838951,36.88157272338867,9.612695968750878e-05,0.36195752024650574
34,27,30.0,0.0008928300000000001,1.0501011274755001e-05,85.02323913574219,858.038132519934,72953.181328828,554.7589111328125,0.9628608226776123,0.017458422109484673,234459.890625,7.031004383107647e-05,0.26474621891975403
34,29,40.0,0.000737938,9.796674021345098e-06,75.32536315917969,916.729855329701,69053.00927157198,324.5808410644531,1.7506780624389648,0.016876183450222015,271606.53125,6.910116724275018e-05,0.2601943016052246
31,19,8.0,0.001809979,9.805812442209572e-05,18.45822525024414,2518.390331451233,46485.01600596386,9.512979507446289,6.696919918060303,0.005192839074879885,282.4193420410156,6.93482027094337e-05,0.26112449169158936
31,17,6.0,0.002113314,0.00012186431558802724,17.341533660888672,2478.3984232701464,42979.22968223265,7.196363925933838,5.2000203132629395,0.004468292463570833,93.97115325927734,7.390518076887564e-05,0.27828338742256165
31,9,2.0,0.0034196770000000003,0.0002105345338350162,16.24283218383789,2144.4929893847598,34832.6397459935,2.5863492488861084,1.8544108867645264,0.00439963024109602,41.88792037963867,9.37071803324802e-05,0.35284605622291565
31,11,3.0,0.002915397,0.00017034972552210093,17.114187240600586,2225.0955611953445,38080.70206252637,3.3677287101745605,2.5179030895233154,0.005661315750330687,64.14610290527344,8.634142832885933e-05,0.3251109719276428
34,7,1.8,0.0024120219999999998,3.4627755667315796e-05,69.65574645996094,353.9632751243975,24655.57614820243,194.1932373046875,0.046206697821617126,0.013124283403158188,86985.609375,0.0001361782139469369,0.51276695728302
31,27,30.0,0.0007646230000000001,4.1113864426733926e-05,18.597692489624023,2926.285086458301,54422.15017492433,24.393461227416992,15.11577320098877,0.004235697910189629,189.68081665039062,5.773745267033593e-05,0.21740524470806122
