channel,best_vbias_V,min_BI,SNR_at_best,risetime_ms_at_best,decaytime_ms_at_best,amplitude_mV_at_best,hf_power_at_best
31,40.000,5.645937e-05,18.4928,0.289931,8.241857,0.618823,2.922841e-05
34,26.000,6.375961e-05,96.0078,0.579303,11.365965,0.980923,1.048137e-05
71,40.000,4.660919e-05,35.6293,0.319220,5.999673,1.215124,3.183400e-05
83,40.000,5.945701e-05,48.1733,0.388574,5.548785,0.670369,2.119431e-05
91,40.000,1.430265e-04,8.9905,0.435932,10.932363,0.280232,1.745596e-05
