channel,wp,vbias,ap_source,model,n_real,nzer,bessel_order,fcut,n_pulses,rms,chi,cond,railing,t0,zeros,real_poles,param_errors
34,1,0.6,octopus,9p z4,9,4,6,2500,37,2.120826e-04,0.8388,2.591e+11,"pole1=-3.142e+04",0.50323010,"-83.3322 -360.614 -22.4826 -3.07515","-31415.9 -12899.1 -19.1327 -49.0361 -1453.05 -116.492 -904.415 -294.709 -2.79409","1.48247e-06 1.27732 11.712 0.306454 0.0460471 118637 12515.1 0.217013 0.409196 54.0427 1.61236 25.4734 8.5931 0.0412718"
34,3,1,octopus,9p z4,9,4,6,2500,36,1.583439e-04,0.7627,4.396e+10,"",0.50281086,"-80.554 -21.6487 -624.189 -3.15342","-31375.1 -7607.57 -1355.91 -471.271 -49.8154 -126.5 -18.6535 -2.89401 -1355.48","1.29094e-06 0.419948 0.20145 9.52499 0.0404608 17614.9 790.726 248.818 4.75699 0.215253 0.416844 0.153476 0.0365917 255.198"
34,5,1.4,octopus,9p z4,9,4,6,2500,36,1.815080e-04,0.8611,7.966e+10,"",0.50246628,"-799.269 -87.1615 -23.2247 -3.06325","-1535.55 -1537.7 -25052.3 -7271.5 -53.6111 -582.24 -19.8588 -148.412 -2.80564","1.43191e-06 20.3429 0.369 0.182161 0.0355353 2548.49 2544.45 35602.6 1947.02 0.202236 7.78011 0.136011 0.400784 0.0322863"
34,7,1.8,octopus,9p z4,9,4,6,2500,39,1.743703e-04,0.8858,2.210e+10,"",0.50220879,"-95.5989 -940.289 -26.2677 -3.65388","-31028 -7080.32 -171.302 -678.124 -1676.99 -22.1529 -1676.82 -3.34884 -58.5963","1.34023e-06 0.347626 24.9065 0.180996 0.0317156 9034.69 521.504 0.385499 8.86201 146.653 0.12967 151.445 0.0285336 0.207615"
34,9,2,octopus,9p z4,9,4,6,2500,38,3.772773e-04,0.8632,1.087e+10,"",0.50211673,"-39.7148 -11.6739 -105.199 -1.34114","-5686.26 -5287.85 -182.704 -32.5645 -68.3867 -5298.54 -10.7586 -860.138 -1.23428","1.08729e-06 1.39639 0.848304 0.894125 0.297035 4164.63 2524.95 0.500701 1.03077 1.01283 1775.32 0.766754 1.78226 0.280529"
34,11,3,octopus,9p z4,9,4,6,2500,38,2.756466e-04,0.7825,1.397e+10,"",0.50174483,"-141.943 -54.9585 -15.7615 -2.10627","-20109.7 -4509.9 -244.604 -41.311 -95.0194 -1039.91 -14.3482 -4510.35 -1.93696","9.16202e-07 1.29157 1.00036 0.470581 0.0998395 5166.08 320.66 0.791897 0.609105 1.23033 2.72311 0.4039 321.959 0.0923831"
34,13,4,octopus,9p z4,9,4,6,2500,39,2.402706e-04,0.7527,1.500e+10,"",0.50151931,"-62.9449 -16.5248 -174.934 -2.28659","-22673.2 -4896.94 -301.506 -4897.46 -116.193 -14.9719 -1181.16 -45.1346 -2.11078","2.19515e-06 0.616222 0.311181 1.36382 0.0798722 6402.11 1291.06 1.08555 1157.23 1.02747 0.269721 4.52023 0.352835 0.0739896"
34,15,5,octopus,9p z4,9,4,6,2500,38,2.175561e-04,0.9348,1.260e+11,"",0.50135355,"-4602.86 -148.625 -41.7427 -4.93772","-16117.3 -1890.65 -15284.6 -91.6611 -31.978 -7397.9 -1891.87 -304.933 -4.48917","7.60244e-06 1931.5 0.493899 0.18396 0.0290229 63484.6 1906.18 47976.4 0.321141 0.106082 8570.38 1927.89 0.593099 0.0257961"
34,17,6,octopus,9p z4,9,4,6,2500,37,2.335212e-04,0.7083,2.648e+11,"pole5=-3.142e+04",0.50126822,"-19.9814 -223.323 -75.5422 -2.46996","-3605.44 -15990.5 -385.161 -52.0419 -31415.9 -17.8085 -147.967 -1481.86 -2.2679","1.71745e-06 0.339243 2.09272 0.703122 0.0686242 210.725 25464.8 1.95403 0.407407 125378 0.279215 1.38903 15.583 0.0633039"
34,19,8,octopus,9p z4,9,4,6,2500,38,2.102279e-04,0.7890,8.953e+09,"pole2=-3.142e+04; pole3=-3.142e+04",0.50112216,"-81.4117 -255.191 -21.4116 -2.95929","-1664.82 -31415.9 -31415.9 -167.442 -55.0992 -2.72031 -3996.44 -19.0597 -447.676","1.50533e-06 0.670049 2.27403 0.355038 0.0671508 14.0905 4177.46 3370.77 1.42762 0.399269 0.0613613 105.124 0.29151 2.24823"
34,21,10,octopus,9p z4,9,4,6,2500,37,2.515039e-04,0.7518,3.514e+09,"pole3=-3.142e+04; pole6=-3.142e+04",0.50102213,"-278.117 -22.4519 -86.0394 -2.94278","-495.424 -4521.81 -31415.9 -57.5401 -1804.84 -31415.9 -181.908 -19.9296 -2.69058","1.55771e-06 2.33834 0.127626 0.49629 0.0349922 2.57598 132.897 811.263 0.252598 17.087 1723.48 1.34332 0.098551 0.0324021"
34,23,20,octopus,9p z4,9,4,6,2500,36,4.585358e-04,0.7125,1.215e+13,"",0.50081223,"-104.345 -364.67 -2.87305 -25.3728","-29492.5 -2099.93 -8420.49 -66.457 -22.2452 -237.416 -668.745 -28781.6 -2.59604","0.000145486 0.799304 4.06037 0.0724125 0.442462 808776 26.0842 1675.18 0.476173 0.354031 2.21541 5.19824 794649 0.0657781"
34,25,26,octopus,9p z4,9,4,6,2500,38,5.800062e-04,0.8915,4.144e+11,"",0.50075785,"-6095.08 -72.0816 -260.236 -6.49157","-26977 -3328.52 -48.3591 -25965.7 -605.733 -26292.1 -164.054 -3327.79 -5.7561","3.54061e-06 794.197 0.346433 1.40929 0.0447367 131103 17867.7 0.153971 86332.5 1.98229 231258 0.929575 17864.5 0.0389705"
34,27,30,octopus,9p z4,9,4,6,2500,38,4.689432e-04,0.7884,2.684e+10,"",0.50073501,"-134.023 -476.652 -4.4238 -39.3616","-3.94956 -31344 -32.8889 -31370.5 -31326.5 -841.389 -309.969 -2117.92 -84.128","1.66677e-06 1.44292 8.17121 0.0599782 0.712755 0.0526855 7266.86 0.470169 10709.4 15001.1 10.5698 4.15333 23.0104 0.956592"
34,29,40,octopus,9p z4,9,4,6,2500,38,8.749571e-04,0.7729,2.207e+10,"pole3=-3.141e+04; pole5=-3.142e+04; pole7=-3.141e+04",0.50066046,"-135.316 -3.65832 -465.04 -34.0754","-3.24534 -29.1555 -31413.1 -2375.54 -31415.8 -861.259 -31406.3 -81.9056 -310.191","1.8713e-06 1.1419 0.059537 6.84402 0.568577 0.0527148 0.418393 16060.6 24.3481 3617.04 8.71518 9565.51 0.667337 3.7834"
