# Load-curve quantities extracted from the Excel (run 205, 25 mK), one row per (channel, bias). Units: V in V, I in A, R in Ohm.
channel,bias_V,V_bol_V,I_bol_A,R_bol_Ohm,R_load_Ohm
75,40.000,0.00663481,1.91979e-08,345600,2.069e+09
75,50.000,0.00649995,2.40098e-08,270721,2.069e+09
76,0.600,0.0300628,2.77316e-10,1.08406e+08,2.069e+09
76,1.000,0.0273455,4.71167e-10,5.80379e+07,2.069e+09
76,1.400,0.0267758,6.64183e-10,4.03139e+07,2.069e+09
76,1.800,0.0253578,8.60513e-10,2.94682e+07,2.069e+09
76,2.000,0.0272068,9.56449e-10,2.84456e+07,2.069e+09
76,3.000,0.0243626,1.43865e-09,1.69343e+07,2.069e+09
76,4.000,0.024258,1.92504e-09,1.26013e+07,2.069e+09
76,5.000,0.0242346,2.40457e-09,1.00786e+07,2.069e+09
76,6.000,0.0242399,2.76672e-09,8.76126e+06,2.069e+09
76,8.000,0.0243,3.73434e-09,6.50719e+06,2.069e+09
76,10.000,0.0243829,4.69858e-09,5.18941e+06,2.069e+09
76,20.000,0.0247824,9.41366e-09,2.6326e+06,2.069e+09
76,26.000,0.0249858,1.23111e-08,2.02954e+06,2.069e+09
76,30.000,0.025095,1.41174e-08,1.77759e+06,2.069e+09
76,40.000,0.0253406,1.8942e-08,1.3378e+06,2.069e+09
76,50.000,0.0255151,2.36645e-08,1.0782e+06,2.069e+09
77,0.600,0.00692371,2.88751e-10,2.39781e+07,2.069e+09
77,1.000,0.00778203,4.79347e-10,1.62347e+07,2.069e+09
77,1.400,0.00818495,6.74613e-10,1.21328e+07,2.069e+09
77,1.800,0.00839203,8.66258e-10,9.68768e+06,2.069e+09
77,2.000,0.00845989,9.64978e-10,8.76692e+06,2.069e+09
77,3.000,0.00864929,1.44798e-09,5.97337e+06,2.069e+09
77,4.000,0.00871673,1.92942e-09,4.51781e+06,2.069e+09
77,5.000,0.00873404,2.41607e-09,3.61498e+06,2.069e+09
77,6.000,0.00873893,2.8979e-09,3.0156e+06,2.069e+09
77,8.000,0.00872503,3.86447e-09,2.25775e+06,2.069e+09
77,10.000,0.00870401,4.70682e-09,1.84923e+06,2.069e+09
77,20.000,0.00859049,9.53884e-09,900581,2.069e+09
77,26.000,0.00854615,1.23114e-08,694169,2.069e+09
77,30.000,0.00852022,1.42467e-08,598050,2.069e+09
77,40.000,0.00846126,1.90712e-08,443667,2.069e+09
77,50.000,0.00839766,2.37953e-08,352912,2.069e+09
78,0.600,0.00101838,2.9496e-10,3.4526e+06,2.069e+09
78,1.000,0.00151582,4.834e-10,3.13576e+06,2.069e+09
78,1.400,0.00189706,6.77841e-10,2.79868e+06,2.069e+09
78,1.800,0.00218096,8.72411e-10,2.49992e+06,2.069e+09
78,2.000,0.00229157,9.65224e-10,2.37413e+06,2.069e+09
78,3.000,0.00269137,1.44962e-09,1.85661e+06,2.069e+09
78,4.000,0.00292484,1.93194e-09,1.51394e+06,2.069e+09
78,5.000,0.00307313,2.42062e-09,1.26957e+06,2.069e+09
78,6.000,0.0031736,2.89873e-09,1.09482e+06,2.069e+09
