channel,vbias_V,risetime_ms,decaytime_ms,amplitude_mV,hf_power
91,2.000,0.993983,17.435330,1.699560,2.492158e-06
91,3.000,0.888592,15.002183,1.483101,3.513108e-06
91,4.000,0.821387,13.610201,1.322959,4.468672e-06
91,5.000,0.768777,12.744702,1.194072,5.304643e-06
91,6.000,0.727422,12.160514,1.091107,6.109816e-06
91,8.000,0.669204,11.461151,0.927844,7.583179e-06
91,10.000,0.626143,11.036414,0.809598,8.814441e-06
91,20.000,0.517305,10.570356,0.500492,1.309761e-05
91,26.000,0.478548,10.627000,0.405502,1.485041e-05
91,30.000,0.465360,10.687995,0.359060,1.573828e-05
91,40.000,0.435932,10.932363,0.280232,1.745596e-05
94,0.600,1.368198,11.974529,10.681598,1.550689e-05
94,1.000,492.941745,4.366761,5.138210,1.737441e-06
94,1.400,1.955554,3.442066,6.197094,1.093918e-07
94,1.800,1.654698,2.786292,5.544293,2.073580e-07
94,2.000,1.541132,2.562327,5.277561,2.781871e-07
94,3.000,1.196425,1.925957,4.472413,7.494377e-07
94,4.000,0.999270,1.605323,3.968306,1.475252e-06
94,5.000,0.875140,1.407784,3.596281,2.473573e-06
94,6.000,0.802912,1.305515,3.369602,3.444601e-06
94,8.000,0.671222,1.136481,2.928425,6.422566e-06
94,10.000,0.584949,1.055944,2.595703,1.089127e-05
94,20.000,0.403467,7.529408,1.740796,4.101919e-05
94,26.000,0.350717,8.022019,1.455561,4.574516e-05
94,30.000,0.331100,8.373982,1.327778,4.630426e-05
94,40.000,0.285688,9.136852,1.060134,4.660402e-05
