channel,wp,vbias,gen,train,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
34,1,0.6,root,sim,0.00019266189355692415,0.00021085347140161918,1.1505546851548583e-06,0.20605,0.004332311373421784,20000,1.0944222934221297
34,3,1.0,root,sim,0.0001696729053621312,0.00017994051205764478,1.277390182581939e-06,0.32245,0.004809899162291631,20000,1.0605141208232365
34,5,1.4,root,sim,0.00015075170769988962,0.0001586280980769408,1.2826384243200724e-06,0.4027,0.004829660949945837,20000,1.052247437174849
34,7,1.8,root,sim,0.00013810268766615059,0.0001429060431528576,1.2598517536264639e-06,0.4619,0.004743859767366627,20000,1.0347810427724524
34,9,2.0,root,sim,0.00013233591490630572,0.00013724929028321276,1.2424261785896536e-06,0.4832,0.004678245313838738,20000,1.037128056887548
34,11,3.0,root,sim,0.0001158710073836567,0.00011895115541379839,1.1681920970009588e-06,0.5521,0.004398723479621065,20000,1.0265825602080347
34,13,4.0,root,sim,0.00010403241121175259,0.00010522091488043519,1.1032344937788326e-06,0.6038,0.0041541313999394645,20000,1.0114243595321795
34,15,5.0,root,sim,9.717506377055691e-05,9.805038307384319e-05,1.0660127498754926e-06,0.6308,0.004013976232582661,20000,1.0090076535000072
34,17,6.0,root,sim,9.248926508905483e-05,9.394724542895999e-05,1.047939245282795e-06,0.64625,0.003945922057918208,20000,1.0157637790558862
34,19,8.0,root,sim,8.621253647396565e-05,8.686966496060158e-05,1.0049513844629073e-06,0.6729,0.0037840550899661315,20000,1.0076221917775772
34,21,10.0,root,sim,8.145958105996294e-05,8.254078835143679e-05,9.758975550594168e-07,0.6892,0.0036746554784654784,20000,1.013272929683716
34,23,20.0,root,sim,7.089362277715413e-05,7.162564549029122e-05,9.196383564155546e-07,0.7303,0.003462816467865478,20000,1.0103256496770958
34,25,26.0,root,sim,6.859224030621241e-05,6.966038862478079e-05,9.095157288984461e-07,0.7377,0.0034247006139324866,20000,1.015572436675051
34,27,30.0,root,sim,6.789706325427042e-05,6.842546370253441e-05,9.074925685244662e-07,0.74235,0.0034170825834194305,20000,1.0077823755982664
34,29,40.0,root,sim,6.614130054389392e-05,6.6991357341216e-05,8.920621981582953e-07,0.74775,0.0033589808956891553,20000,1.0128521330897922
