channel,wp,vbias,model,npol,cc,nzer,t0,amp,baseline,tilt,rms,sigma_baseline,params
34,15,5,6p+cc-z4,6,1,4,0.499283,26.4541,0.000331256,0.00117517,0.000291491,0.000155401,0.49928334;26.454103;0.00033125639;0.0011751717;-52067.132;-20.930087;-24815.195;-123.61162;-1509.9984;-70.022858;-291.70623;-17.254416;-3964.5722;2.4212357
34,17,6,6p+cc-z4,6,1,4,0.499481,438.301,0.000684568,0.00180173,0.00106125,0.00019214,0.49948066;438.30126;0.00068456818;0.0018017274;-236.10052;-794.93338;-71.330768;-12037.094;-1499.2339;-1491.6493;-1487.0777;-41.165216;-233.67208;1.6865499
34,19,8,6p+cc-z4,6,1,4,0.499516,143.043,0.000307544,0.00102739,0.000368284,0.000129272,0.49951616;143.04321;0.00030754396;0.0010273933;-55273.612;-935.49925;-21.196996;-126.3494;-2960.9815;-325.19421;-72.497223;-17.554352;-1355.0011;5.5571271
34,21,10,6p+cc-z4,6,1,4,0.499587,456.093,0.00035554,0.00116919,0.000419664,0.000135611,0.49958699;456.09255;0.00035553958;0.0011691875;-163.33096;-28.990071;-91.555898;-20761.694;-412.41658;-2544.209;-2543.6503;-22.680248;-91.490775;1.072151
34,23,20,6p+cc-z4,6,1,4,0.49968,296.937,0.000378075,0.0010611,0.000410123,0.000150635,0.49967962;296.9373;0.00037807513;0.0010610986;-54403.889;-525.43199;-34.03385;-189.66995;-3744.6058;-2929.6538;-105.29556;-26.051943;-525.26475;1
34,25,26,6p+cc-z4,6,1,4,0.499709,290.924,0.000355047,0.000931936,0.000439177,0.000181491,0.49970897;290.92411;0.00035504727;0.00093193639;-66238.588;-573.36339;-35.400259;-199.73072;-4404.7128;-2946.0483;-109.55552;-26.998491;-573.48346;1
34,27,30,6p+cc-z4,6,1,4,0.499758,607.205,0.00025649,0.000720114,0.000368109,0.000188653,0.49975787;607.20516;0.00025649021;0.00072011354;-130.22687;-738.31404;-45107.605;-17.170268;-8142.0071;-378.07651;-73.162802;-14.7178;-1495.6387;3.4617842
34,29,40,6p+cc-z4,6,1,4,0.499779,1935.15,0.000395734,0.00105446,0.000505157,0.000174709,0.49977861;1935.1537;0.00039573353;0.0010544615;-654.58613;-215.4766;-10839.874;-36.542578;-3742.3127;-3736.8889;-114.48009;-27.950726;-654.58889;1.997185
71,1,0.6,4p-z2,4,0,2,0.499099,704.53,1.34656e-05,0.000739839,0.00110371,0.000245433,0.49909915;704.52954;1.346556e-05;0.00073983884;-70.863522;-5.7202035;-394.90398;-179.73825;-40.944591;-5.1199688
71,3,1,4p-z2,4,0,2,0.499028,27.381,0.000931455,0.00322687,0.00122914,0.000224663,0.49902767;27.381007;0.00093145485;0.0032268715;-100000;-71.26237;-2847.7797;-260.122;-497.74328;-39.511369
71,5,1.4,6p+cc-z4,6,1,4,0.499115,99.3974,0.000797296,0.00264331,0.00118369,0.000186072,0.49911475;99.397427;0.00079729567;0.0026433069;-18043.494;-85.8097;-2217.6123;-2222.6908;-784.96642;-361.78699;-784.94223;-45.265811;-1676.6499;2022.0529
71,7,1.8,6p+cc-z4,6,1,4,0.499261,138.702,0.000737943,0.0023328,0.00126919,0.000233712,0.499261;138.70222;0.00073794344;0.0023327991;-26884.484;-99.468037;-1340.1774;-1342.642;-2139.5684;-951.0352;-2140.0578;-50.457022;-568.97511;2.9640026
71,9,2,6p+cc-z4,6,1,4,0.499231,45.0751,0.000733087,0.00229034,0.00128903,0.000177383,0.49923053;45.075091;0.00073308712;0.0022903411;-104.6734;-1296.7497;-25517.34;-25089.255;-4552.3101;-1084.0708;-4551.2657;-52.44826;-614.46413;2.2619848
71,11,3,4p-z2,4,0,2,0.499386,123.794,0.000655731,0.00188428,0.00136217,0.000296071,0.49938586;123.79397;0.00065573094;0.0018842762;-38429.593;-123.30822;-1517.5848;-1517.4065;-604.41499;-60.102312
71,13,4,4p-z2,4,0,2,0.499493,148.399,0.000697496,0.00164627,0.0013748,0.000145431,0.49949327;148.39928;0.00069749594;0.0016462687;-44707.659;-146.14205;-1769.551;-1769.5245;-753.03776;-68.570363
71,15,5,4p-z2,4,0,2,0.499518,180.941,0.000695321,0.00152591,0.00142999,0.000109665,0.49951827;180.94121;0.00069532066;0.0015259067;-44908.655;-160.57776;-1963.7341;-1963.665;-831.97174;-73.687321
71,17,6,4p-z2,4,0,2,0.499593,244.706,0.000701216,0.00149419,0.0015108,8.5073e-05,0.49959316;244.70571;0.0007012162;0.0014941904;-41701.464;-177.79589;-2214.5308;-2214.5062;-920.1577;-79.869166
71,19,8,4p-z2,4,0,2,0.499671,306.292,0.000639775,0.00130099,0.00159034,8.55002e-05,0.49967072;306.29184;0.00063977495;0.0013009856;-48371.746;-203.80702;-2750.6912;-1008.857;-2750.762;-89.435478
